측정,측정망,측정소명,측정날짜,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
미세먼지(PM10),도시대기,[경기 용인시]이동읍,2022년10월,48,35,16,14,22,17,10,12,10,7,19,28,28,29,35,48,34,26,29,44,71,56,38,30,24,27,40,48,45,46,32
미세먼지(PM10),도시대기,[경기 의왕시]고천동,2022년10월,54,34,18,11,20,12,11,10,9,7,17,20,19,27,32,37,27,21,23,33,55,43,33,25,15,17,29,41,29,24,22
미세먼지(PM10),도시대기,[경기 의왕시]부곡3동,2022년10월,92,48,19,17,28,13,14,10,10,10,21,25,22,38,41,55,33,26,30,43,64,48,39,32,15,20,34,51,36,31,29
미세먼지(PM10),도시대기,[경기 의정부시]송산3동,2022년10월,39,26,11,14,8,6,9,9,7,5,14,17,18,23,25,28,26,18,18,28,41,33,32,24,14,14,32,34,31,23,22
미세먼지(PM10),도시대기,[경기 의정부시]의정부1동,2022년10월,46,33,14,20,19,16,24,17,13,10,19,24,26,32,31,39,35,26,27,39,53,44,40,31,25,36,47,43,34,30,33
미세먼지(PM10),도시대기,[경기 의정부시]의정부동,2022년10월,41,28,11,16,11,9,9,10,8,5,14,17,19,25,26,33,28,19,21,34,46,37,38,25,16,18,32,38,27,25,28
미세먼지(PM10),도시대기,[경기 이천시]부발읍,2022년10월,57,42,20,15,18,9,12,15,15,10,21,31,27,37,36,52,37,31,40,48,69,69,50,29,20,34,48,63,45,43,44
미세먼지(PM10),도시대기,[경기 이천시]장호원읍,2022년10월,29,25,15,11,10,10,13,13,12,8,17,38,21,27,30,57,43,26,36,47,67,63,50,37,20,27,43,58,46,40,28
미세먼지(PM10),도시대기,[경기 이천시]창전동,2022년10월,48,36,18,15,17,7,5,9,10,6,18,23,20,27,27,38,31,23,31,37,61,54,40,25,12,19,38,51,28,28,28
미세먼지(PM10),도시대기,[경기 파주시]금촌동,2022년10월,52,35,12,19,15,10,18,16,13,11,25,29,35,37,48,46,37,34,37,53,60,45,47,38,32,38,47,58,41,42,43
미세먼지(PM10),도시대기,[경기 파주시]운정,2022년10월,49,32,14,13,14,8,13,18,9,8,16,31,30,36,40,44,30,28,35,48,57,46,38,33,31,33,42,50,43,38,40
미세먼지(PM10),도시대기,[경기 파주시]파주읍,2022년10월,30,21,8,12,8,5,10,12,7,6,16,18,22,27,32,30,27,27,30,37,41,30,32,25,31,29,30,39,31,28,35
